,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
f_rotated_[0],2.781,0.241,2.349,3.248,0.004,0.003,4109.0,3038.0,1.0
f_rotated_[1],0.518,0.425,-0.241,1.354,0.006,0.004,4821.0,2756.0,1.0
f_rotated_[2],0.741,0.556,-0.352,1.715,0.008,0.006,4828.0,3106.0,1.0
f_rotated_[3],2.524,0.424,1.701,3.306,0.007,0.005,4235.0,3302.0,1.0
f_rotated_[4],1.384,0.365,0.695,2.036,0.005,0.004,4781.0,3148.0,1.0
f_rotated_[5],1.257,0.434,0.451,2.086,0.006,0.004,5132.0,2671.0,1.0
f_rotated_[6],4.756,0.279,4.252,5.278,0.004,0.003,5063.0,2899.0,1.0
f_rotated_[7],-0.361,0.379,-1.071,0.323,0.006,0.005,3997.0,3355.0,1.0
f_rotated_[8],1.656,0.485,0.773,2.594,0.007,0.005,5557.0,3632.0,1.0
f_rotated_[9],1.631,0.424,0.897,2.486,0.006,0.004,5623.0,3508.0,1.0
f_rotated_[10],1.641,0.391,0.865,2.324,0.005,0.004,5384.0,3367.0,1.0
f_rotated_[11],1.584,0.383,0.813,2.237,0.005,0.004,5598.0,3645.0,1.0
f_rotated_[12],1.854,0.363,1.198,2.548,0.005,0.004,5510.0,3686.0,1.0
f_rotated_[13],2.934,0.277,2.412,3.454,0.004,0.003,5582.0,3756.0,1.0
f_rotated_[14],1.316,0.31,0.71,1.894,0.004,0.003,5702.0,3296.0,1.0
f_rotated_[15],2.15,0.337,1.479,2.758,0.004,0.003,6798.0,2646.0,1.0
f_rotated_[16],2.957,0.263,2.45,3.432,0.003,0.002,6507.0,3416.0,1.0
f_rotated_[17],2.917,0.209,2.538,3.31,0.003,0.002,4288.0,2920.0,1.0
f_rotated_[18],0.058,0.421,-0.752,0.824,0.006,0.006,4681.0,2872.0,1.0
f_rotated_[19],3.011,0.362,2.314,3.684,0.006,0.004,4139.0,2868.0,1.0
f_rotated_[20],1.784,0.31,1.226,2.371,0.005,0.003,4313.0,2860.0,1.0
f_rotated_[21],1.52,0.357,0.838,2.169,0.005,0.004,4787.0,3404.0,1.0
f_rotated_[22],5.082,0.227,4.687,5.533,0.003,0.002,5095.0,3292.0,1.0
f_rotated_[23],-0.589,0.37,-1.223,0.17,0.006,0.005,3815.0,3329.0,1.0
f_rotated_[24],3.429,0.331,2.788,4.025,0.005,0.004,4394.0,3324.0,1.0
f_rotated_[25],3.319,0.224,2.911,3.747,0.004,0.003,4006.0,3848.0,1.0
f_rotated_[26],2.366,0.198,1.998,2.728,0.003,0.002,3964.0,3396.0,1.0
f_rotated_[27],2.011,0.258,1.537,2.516,0.004,0.003,4092.0,3267.0,1.0
f_rotated_[28],1.412,0.354,0.696,2.021,0.005,0.004,5167.0,3456.0,1.0
f_rotated_[29],2.082,0.357,1.393,2.732,0.005,0.003,5469.0,3127.0,1.0
f_rotated_[30],1.072,0.411,0.331,1.869,0.007,0.005,3789.0,3354.0,1.0
f_rotated_[31],2.253,0.373,1.552,2.938,0.007,0.005,3055.0,2787.0,1.0
f_rotated_[32],3.207,0.265,2.744,3.733,0.005,0.003,3152.0,2775.0,1.0
f_rotated_[33],0.216,0.395,-0.515,0.95,0.007,0.006,2820.0,2459.0,1.0
f_rotated_[34],6.127,0.255,5.639,6.579,0.005,0.003,2682.0,2513.0,1.0
f_rotated_[35],0.904,0.243,0.432,1.341,0.006,0.004,1845.0,2707.0,1.0
f_rotated_[36],4.819,0.166,4.502,5.125,0.003,0.002,2855.0,3457.0,1.0
f_rotated_[37],0.705,0.266,0.23,1.22,0.005,0.004,2811.0,2704.0,1.0
f_rotated_[38],4.013,0.213,3.62,4.422,0.004,0.003,3224.0,3007.0,1.0
f_rotated_[39],2.138,0.211,1.742,2.529,0.004,0.003,2945.0,3423.0,1.0
f_rotated_[40],5.114,0.137,4.864,5.374,0.002,0.001,4250.0,3343.0,1.0
f_rotated_[41],0.842,0.244,0.369,1.293,0.005,0.003,2615.0,2948.0,1.0
f_rotated_[42],1.773,0.368,1.069,2.442,0.005,0.004,4622.0,2859.0,1.0
f_rotated_[43],4.4,0.244,3.982,4.902,0.004,0.003,4602.0,2997.0,1.0
f_rotated_[44],3.333,0.166,3.018,3.64,0.003,0.002,3932.0,3223.0,1.0
f_rotated_[45],0.538,0.325,-0.074,1.133,0.006,0.004,3134.0,2815.0,1.0
f_rotated_[46],0.547,0.549,-0.552,1.522,0.008,0.006,5318.0,3250.0,1.0
f_rotated_[47],2.361,0.441,1.565,3.209,0.006,0.005,4798.0,3106.0,1.0
f_rotated_[48],2.521,0.316,1.912,3.088,0.005,0.003,4495.0,3032.0,1.0
f_rotated_[49],-0.486,0.532,-1.516,0.438,0.011,0.008,2439.0,2495.0,1.0
f_rotated_[50],3.831,0.384,3.097,4.544,0.008,0.006,2487.0,2467.0,1.0
f_rotated_[51],3.136,0.244,2.678,3.593,0.005,0.003,2619.0,2731.0,1.0
f_rotated_[52],1.539,0.257,1.071,2.029,0.004,0.003,4693.0,3242.0,1.0
f_rotated_[53],4.606,0.183,4.271,4.956,0.002,0.002,5580.0,2635.0,1.0
f_rotated_[54],1.625,0.216,1.208,2.011,0.004,0.003,2765.0,2809.0,1.0
f_rotated_[55],1.44,0.338,0.811,2.071,0.006,0.004,2916.0,2613.0,1.0
f_rotated_[56],3.574,0.257,3.085,4.05,0.005,0.003,2898.0,2649.0,1.0
f_rotated_[57],-0.066,0.405,-0.865,0.638,0.009,0.006,2235.0,2454.0,1.0
f_rotated_[58],6.394,0.266,5.882,6.872,0.006,0.004,2205.0,2478.0,1.0
f_rotated_[59],2.739,0.201,2.359,3.098,0.005,0.004,1583.0,2592.0,1.0
f_rotated_[60],2.243,0.196,1.869,2.608,0.003,0.002,3781.0,3088.0,1.0
f_rotated_[61],1.577,0.309,0.93,2.101,0.004,0.003,5595.0,3676.0,1.0
f_rotated_[62],3.152,0.258,2.66,3.642,0.004,0.003,5148.0,3593.0,1.0
f_rotated_[63],1.348,0.303,0.792,1.916,0.004,0.003,4942.0,3643.0,1.0
f_rotated_[64],1.918,0.345,1.264,2.558,0.006,0.004,3933.0,2797.0,1.0
f_rotated_[65],1.461,0.382,0.725,2.154,0.007,0.005,3011.0,2685.0,1.0
f_rotated_[66],3.376,0.281,2.857,3.914,0.005,0.003,3495.0,3266.0,1.0
f_rotated_[67],4.042,0.178,3.702,4.37,0.003,0.002,3659.0,3468.0,1.0
f_rotated_[68],2.454,0.171,2.139,2.775,0.003,0.002,3117.0,3096.0,1.0
f_rotated_[69],1.384,0.295,0.84,1.938,0.004,0.003,5797.0,2838.0,1.0
f_rotated_[70],4.232,0.218,3.832,4.649,0.003,0.002,5901.0,3117.0,1.0
f_rotated_[71],0.53,0.318,-0.082,1.107,0.005,0.004,3567.0,3156.0,1.0
f_rotated_[72],2.286,0.36,1.611,2.971,0.005,0.004,4661.0,3187.0,1.0
f_rotated_[73],1.344,0.383,0.669,2.116,0.006,0.004,4610.0,3009.0,1.0
f_rotated_[74],0.654,0.505,-0.302,1.597,0.007,0.005,5714.0,3709.0,1.0
f_rotated_[75],1.738,0.459,0.899,2.579,0.006,0.004,5563.0,3269.0,1.0
f_rotated_[76],1.105,0.452,0.237,1.926,0.007,0.005,3966.0,3442.0,1.0
f_rotated_[77],2.163,0.385,1.388,2.846,0.006,0.005,3581.0,3272.0,1.0
f_rotated_[78],1.504,0.372,0.807,2.218,0.006,0.004,3768.0,3310.0,1.0
f_rotated_[79],3.282,0.276,2.76,3.801,0.004,0.003,3971.0,3470.0,1.0
f_rotated_[80],3.559,0.19,3.192,3.892,0.003,0.002,3871.0,3535.0,1.0
f_rotated_[81],2.486,0.178,2.145,2.802,0.003,0.002,4424.0,3287.0,1.0
f_rotated_[82],2.452,0.212,2.081,2.877,0.003,0.002,5917.0,3588.0,1.0
f_rotated_[83],1.449,0.311,0.876,2.028,0.005,0.003,4667.0,3073.0,1.0
f_rotated_[84],5.73,0.2,5.345,6.09,0.003,0.002,4355.0,3076.0,1.0
f_rotated_[85],-0.602,0.341,-1.244,0.037,0.007,0.005,2528.0,2716.0,1.0
f_rotated_[86],1.721,0.473,0.784,2.578,0.011,0.008,1753.0,1891.0,1.0
f_rotated_[87],2.994,0.343,2.332,3.627,0.008,0.006,1895.0,2041.0,1.0
f_rotated_[88],5.116,0.196,4.764,5.504,0.004,0.003,2139.0,2328.0,1.0
f_rotated_[89],0.725,0.242,0.275,1.172,0.005,0.003,2821.0,3028.0,1.0
f_rotated_[90],4.31,0.192,3.979,4.686,0.003,0.002,3629.0,3458.0,1.0
f_rotated_[91],1.5,0.231,1.065,1.925,0.004,0.003,3123.0,2924.0,1.0
f_rotated_[92],3.293,0.209,2.901,3.684,0.003,0.002,5411.0,3365.0,1.0
f_rotated_[93],0.149,0.405,-0.611,0.902,0.006,0.006,5253.0,3058.0,1.0
f_rotated_[94],5.965,0.263,5.498,6.478,0.004,0.003,4873.0,3112.0,1.0
f_rotated_[95],-0.737,0.34,-1.383,-0.111,0.006,0.004,3446.0,3520.0,1.0
f_rotated_[96],4.62,0.263,4.117,5.104,0.004,0.003,4024.0,3547.0,1.0
f_rotated_[97],-0.177,0.373,-0.895,0.505,0.006,0.005,3984.0,3175.0,1.0
f_rotated_[98],3.72,0.3,3.19,4.313,0.004,0.003,4710.0,3833.0,1.0
f_rotated_[99],0.681,0.35,0.035,1.347,0.005,0.004,4637.0,3396.0,1.0
f_rotated_[100],1.503,0.433,0.679,2.299,0.007,0.005,4374.0,3038.0,1.0
f_rotated_[101],2.3,0.361,1.652,3.007,0.005,0.004,4669.0,3491.0,1.0
f_rotated_[102],3.982,0.236,3.518,4.411,0.003,0.002,4665.0,3410.0,1.0
f_rotated_[103],1.883,0.22,1.469,2.283,0.004,0.003,3260.0,3578.0,1.0
f_rotated_[104],1.925,0.287,1.38,2.45,0.004,0.003,5605.0,2519.0,1.0
f_rotated_[105],3.322,0.234,2.906,3.772,0.003,0.002,4935.0,3341.0,1.0
f_rotated_[106],1.139,0.299,0.564,1.678,0.005,0.003,3980.0,4002.0,1.0
f_rotated_[107],1.83,0.364,1.106,2.477,0.005,0.004,4585.0,3769.0,1.0
f_rotated_[108],1.434,0.394,0.702,2.161,0.005,0.004,5160.0,3677.0,1.0
f_rotated_[109],0.451,0.518,-0.524,1.403,0.007,0.006,5901.0,2722.0,1.0
f_rotated_[110],1.98,0.467,1.133,2.863,0.006,0.005,5367.0,3120.0,1.0
f_rotated_[111],1.413,0.416,0.622,2.164,0.005,0.004,6131.0,3454.0,1.0
f_rotated_[112],3.172,0.302,2.603,3.722,0.004,0.003,5853.0,3364.0,1.0
f_rotated_[113],0.795,0.355,0.103,1.441,0.005,0.004,4557.0,3525.0,1.0
f_rotated_[114],0.206,0.586,-0.886,1.319,0.008,0.009,6308.0,2914.0,1.0
f_rotated_[115],3.906,0.393,3.143,4.601,0.005,0.004,6306.0,2995.0,1.0
f_rotated_[116],0.912,0.343,0.255,1.545,0.005,0.004,4127.0,3071.0,1.0
f_rotated_[117],1.815,0.389,1.044,2.49,0.005,0.004,5686.0,3629.0,1.0
f_rotated_[118],1.18,0.431,0.374,1.97,0.006,0.004,5620.0,3602.0,1.0
f_rotated_[119],0.863,0.493,-0.05,1.831,0.007,0.006,4735.0,2583.0,1.0
f_rotated_[120],3.609,0.34,2.985,4.267,0.005,0.004,4549.0,2763.0,1.0
f_rotated_[121],1.109,0.31,0.476,1.656,0.005,0.003,4393.0,3992.0,1.0
f_rotated_[122],2.823,0.285,2.271,3.328,0.004,0.003,4865.0,3883.0,1.0
f_rotated_[123],1.091,0.351,0.418,1.738,0.005,0.004,4892.0,3424.0,1.0
f_rotated_[124],1.979,0.367,1.283,2.661,0.005,0.003,5792.0,3269.0,1.0
f_rotated_[125],1.338,0.39,0.565,2.028,0.006,0.004,4357.0,2918.0,1.0
f_rotated_[126],1.616,0.403,0.819,2.323,0.007,0.005,3473.0,3135.0,1.0
f_rotated_[127],3.857,0.271,3.34,4.362,0.005,0.003,3371.0,3107.0,1.0
f_rotated_[128],1.046,0.282,0.49,1.547,0.006,0.004,2414.0,2880.0,1.0
f_rotated_[129],4.033,0.216,3.631,4.438,0.004,0.003,2622.0,2784.0,1.0
f_rotated_[130],1.707,0.23,1.263,2.127,0.004,0.003,2812.0,2971.0,1.0
f_rotated_[131],5.881,0.149,5.601,6.165,0.003,0.002,2948.0,3073.0,1.0
f_rotated_[132],2.754,0.165,2.447,3.061,0.004,0.003,1600.0,2386.0,1.0
f_rotated_[133],3.323,0.129,3.084,3.567,0.002,0.001,4077.0,3345.0,1.0
f_rotated_[134],2.5,0.182,2.167,2.838,0.003,0.002,3362.0,2954.0,1.0
f_rotated_[135],1.165,0.329,0.553,1.784,0.004,0.003,6443.0,3064.0,1.0
f_rotated_[136],2.984,0.293,2.432,3.528,0.004,0.003,6690.0,3135.0,1.0
f_rotated_[137],1.571,0.3,0.99,2.122,0.004,0.003,5594.0,3484.0,1.0
f_rotated_[138],2.904,0.256,2.386,3.366,0.004,0.003,5058.0,3405.0,1.0
f_rotated_[139],1.157,0.319,0.551,1.728,0.005,0.003,4524.0,3491.0,1.0
f_rotated_[140],2.357,0.323,1.743,2.945,0.005,0.003,4861.0,3436.0,1.0
f_rotated_[141],1.019,0.391,0.294,1.737,0.005,0.004,5669.0,3144.0,1.0
f_rotated_[142],1.513,0.43,0.724,2.337,0.005,0.004,6581.0,2911.0,1.0
f_rotated_[143],2.231,0.361,1.526,2.892,0.005,0.003,5833.0,3418.0,1.0
f_rotated_[144],1.371,0.372,0.659,2.049,0.005,0.004,5539.0,3442.0,1.0
f_rotated_[145],2.045,0.356,1.363,2.686,0.005,0.003,5416.0,3652.0,1.0
f_rotated_[146],2.26,0.314,1.643,2.84,0.004,0.003,4906.0,3332.0,1.0
f_rotated_[147],-0.239,0.533,-1.33,0.66,0.007,0.008,6148.0,2971.0,1.0
f_rotated_[148],2.725,0.43,1.923,3.511,0.006,0.004,5834.0,3098.0,1.0
f_rotated_[149],0.926,0.41,0.2,1.744,0.006,0.004,5529.0,3559.0,1.0
f_rotated_[150],3.128,0.315,2.554,3.732,0.004,0.003,5824.0,3607.0,1.0
f_rotated_[151],1.791,0.286,1.233,2.29,0.005,0.003,3898.0,3375.0,1.0
f_rotated_[152],0.992,0.416,0.172,1.736,0.006,0.004,5786.0,2987.0,1.0
f_rotated_[153],2.32,0.383,1.601,3.025,0.005,0.004,5464.0,3232.0,1.0
f_rotated_[154],1.133,0.399,0.413,1.889,0.005,0.004,5931.0,3079.0,1.0
f_rotated_[155],2.874,0.318,2.322,3.519,0.004,0.003,5880.0,3618.0,1.0
f_rotated_[156],1.339,0.332,0.726,1.985,0.005,0.003,5228.0,3553.0,1.0
f_rotated_[157],3.28,0.262,2.77,3.751,0.004,0.003,4880.0,3647.0,1.0
f_rotated_[158],0.978,0.335,0.33,1.585,0.005,0.004,4365.0,3317.0,1.0
f_rotated_[159],1.662,0.39,0.928,2.381,0.005,0.004,5298.0,3429.0,1.0
f_rotated_[160],1.869,0.374,1.134,2.553,0.005,0.003,6559.0,3386.0,1.0
f_rotated_[161],2.051,0.338,1.457,2.723,0.004,0.003,5778.0,3672.0,1.0
f_rotated_[162],1.548,0.359,0.867,2.211,0.005,0.004,4974.0,3137.0,1.0
f_rotated_[163],1.802,0.367,1.1,2.493,0.005,0.004,5614.0,3324.0,1.0
f_rotated_[164],2.377,0.31,1.782,2.925,0.004,0.003,5500.0,3716.0,1.0
f_rotated_[165],1.635,0.323,1.019,2.234,0.004,0.003,5263.0,3714.0,1.0
